showing info https://raw.githubusercontent.com/nltk/nltk_data/gh-pages/index.xml
| Word                     |   Count |
| laura                    |       5 |
| light                    |       5 |
| luces                    |       5 |
| luego                    |       5 |
| mananas                  |       5 |
| melodia                  |       5 |
| milagro                  |       5 |
| mojarse                  |       5 |
| momento                  |       5 |
| nino                     |       5 |
| ninos                    |       5 |
| nubes                    |       5 |
| oiste                    |       5 |
| olvidar                  |       5 |
| oscuridad                |       5 |
| pasa                     |       5 |
| perder                   |       5 |
| podria                   |       5 |
| pueda                    |       5 |
| pues                     |       5 |
| quedan                   |       5 |
| quieres                  |       5 |
| razon                    |       5 |
| reir                     |       5 |
| reloj                    |       5 |
| reunir                   |       5 |
| suenos                   |       5 |
| ties                     |       5 |
| vas                      |       5 |
| vendiste                 |       5 |
| voz                      |       5 |
| vueltasque               |       5 |
| your                     |       5 |
| absurdo                  |       4 |
| aca                      |       4 |
| afuera                   |       4 |
| airey                    |       4 |
| alba                     |       4 |
| alejes                   |       4 |
| amarte                   |       4 |
| amory                    |       4 |
| anos                     |       4 |
| arena                    |       4 |
| asoma                    |       4 |
| atras                    |       4 |
| babe                     |       4 |
| baby                     |       4 |
| beto                     |       4 |
| borde                    |       4 |
| buho                     |       4 |
| buscas                   |       4 |
| but                      |       4 |
| caer                     |       4 |
| cansado                  |       4 |
| capitan                  |       4 |
| carta                    |       4 |
| casaque                  |       4 |
| cerca                    |       4 |
| ciencia                  |       4 |
| come                     |       4 |
| contar                   |       4 |
| cosa                     |       4 |
| cuerpoque                |       4 |
| dejado                   |       4 |
| desnuda                  |       4 |
| despide                  |       4 |
| dias                     |       4 |
| diganle                  |       4 |
| diosa                    |       4 |
| dira                     |       4 |
| dormirme                 |       4 |
| durara                   |       4 |
| elementoveo              |       4 |
| energia                  |       4 |
| entiendo                 |       4 |
| escucha                  |       4 |
| esperan                  |       4 |
| fantasmas                |       4 |
| florece                  |       4 |
| gira                     |       4 |
| gritar                   |       4 |
| hagas                    |       4 |
| hecha                    |       4 |
| heridas                  |       4 |
| hilos                    |       4 |
| hombres                  |       4 |
| hora                     |       4 |
| hospicio                 |       4 |
| ido                      |       4 |
| igual                    |       4 |
| juega                    |       4 |
| junte                    |       4 |
| lava                     |       4 |
| lejos                    |       4 |
| llamas                   |       4 |
| lleva                    |       4 |
| llevaba                  |       4 |
| llorar                   |       4 |
| manzana                  |       4 |
| mentiria                 |       4 |
| mimbrequiero             |       4 |
| mirarte                  |       4 |
| moment                   |       4 |
| musicadel                |       4 |
| ojo                      |       4 |
| olvides                  |       4 |
| oye                      |       4 |
| palabras                 |       4 |
| pasar                    |       4 |
| perrotira                |       4 |
| podre                    |       4 |
| primaveraque             |       4 |
| procura                  |       4 |
| punto                    |       4 |
| querer                   |       4 |
| quiso                    |       4 |
| quizas                   |       4 |
| rutas                    |       4 |
| sabia                    |       4 |
| sal                      |       4 |
| salir                    |       4 |
| seca                     |       4 |
| secahecha                |       4 |
| segundo                  |       4 |
| sobras                   |       4 |
| soledad                  |       4 |
| tajoque                  |       4 |
| techos                   |       4 |
| temprano                 |       4 |
| tendras                  |       4 |
| tentarme                 |       4 |
| this                     |       4 |
| trepen                   |       4 |
| vacia                    |       4 |
| vamos                    |       4 |
| veces                    |       4 |
| ventana                  |       4 |
| verano                   |       4 |
| vueltas                  |       4 |
| world                    |       4 |
| abre                     |       3 |
| abrira                   |       3 |
| adios                    |       3 |
| adonde                   |       3 |
| ahi                      |       3 |
| ahoracorre               |       3 |
| aires                    |       3 |
| alfombratoca             |       3 |
| all                      |       3 |
| allasolo                 |       3 |
| almay                    |       3 |
| amary                    |       3 |
| amas                     |       3 |
| amorveo                  |       3 |
| amorya                   |       3 |
| anillo                   |       3 |
| aquella                  |       3 |
| armonia                  |       3 |
| around                   |       3 |
| asilo                    |       3 |
| atado                    |       3 |
| azulera                  |       3 |
| bailan                   |       3 |
| besos                    |       3 |
| blancas                  |       3 |
| bosniadonde              |       3 |
| bruma                    |       3 |
| bueno                    |       3 |
| buenos                   |       3 |
| buscolas                 |       3 |
| cadalso                  |       3 |
| callarya                 |       3 |
| cambiara                 |       3 |
| caminando                |       3 |
| cansa                    |       3 |
| carne                    |       3 |
| cheques                  |       3 |
| chiquitosno              |       3 |
| ciego                    |       3 |
| cierto                   |       3 |
| clara                    |       3 |
| comes                    |       3 |
| conservar                |       3 |
| corras                   |       3 |
| corre                    |       3 |
| cris                     |       3 |
| cruza                    |       3 |
| curto                    |       3 |
| decirlo                  |       3 |
| dejo                     |       3 |
| deporteque               |       3 |
| descubre                 |       3 |
| desolada                 |       3 |
| diamante                 |       3 |
| dispuso                  |       3 |
| doblar                   |       3 |
| dolory                   |       3 |
| dorada                   |       3 |
| dormir                   |       3 |
| dos                      |       3 |
| doy                      |       3 |
| duende                   |       3 |
| duermejuega              |       3 |
| elefante                 |       3 |
| elemento                 |       3 |
| encuentra                |       3 |
| entenderas               |       3 |
| escapa                   |       3 |
| escapo                   |       3 |
| espacio                  |       3 |
| esperando                |       3 |
| esperar                  |       3 |
| estes                    |       3 |
| extrana                  |       3 |
| fina                     |       3 |
| gestion                  |       3 |
| grita                    |       3 |
| hables                   |       3 |
| hadastal                 |       3 |
| haria                    |       3 |
| hijos                    |       3 |
| historia                 |       3 |
| hoja                     |       3 |
| horas                    |       3 |
| hoyy                     |       3 |
| idea                     |       3 |
| inutil                   |       3 |
| jamas                    |       3 |
| lago                     |       3 |
| lagrima                  |       3 |
| lala                     |       3 |
| llevar                   |       3 |
| lleve                    |       3 |
| lloradonde               |       3 |
| llueven                  |       3 |
| lobogargantas            |       3 |
| lucesmira                |       3 |
| lunatica                 |       3 |
| lunaviene                |       3 |
| madre                    |       3 |
| magma                    |       3 |
| mananadespierte          |       3 |
| manoshasta               |       3 |
| marcadaspor              |       3 |
| marsobre                 |       3 |
| mary                     |       3 |
| masa                     |       3 |
| maseste                  |       3 |
| meciopor                 |       3 |
| mediodia                 |       3 |
| mia                      |       3 |
| mirar                    |       3 |
| mires                    |       3 |
| misma                    |       3 |
| moriry                   |       3 |
| movida                   |       3 |
| muerte                   |       3 |
| mueve                    |       3 |
| nenano                   |       3 |
| niebla                   |       3 |
| nuevo                    |       3 |
| ocultano                 |       3 |
| olvidare                 |       3 |
| ondas                    |       3 |
| organismo                |       3 |
| papel                    |       3 |
| paraiso                  |       3 |
| paris                    |       3 |
| partir                   |       3 |
| pasos                    |       3 |
| pensando                 |       3 |
| perdi                    |       3 |
| pez                      |       3 |
| pidiendo                 |       3 |
| pieles                   |       3 |
| pisoy                    |       3 |
| place                    |       3 |
| poderosoque              |       3 |
| podra                    |       3 |
| predecible               |       3 |
| pronto                   |       3 |
| queatado                 |       3 |
| quedara                  |       3 |
| quedaun                  |       3 |
| queres                   |       3 |
| quieren                  |       3 |
| recuerdo                 |       3 |
| rico                     |       3 |
| rie                      |       3 |
| rumor                    |       3 |
| sabessolo                |       3 |
| saca                     |       3 |
| sangre                   |       3 |
| secreto                  |       3 |
| see                      |       3 |
| sentado                  |       3 |
| sidescubre               |       3 |
| sidesnuda                |       3 |
| siento                   |       3 |
| soledady                 |       3 |
| sombracuenta             |       3 |
| sonido                   |       3 |
| surge                    |       3 |
| tampoco                  |       3 |
| tantos                   |       3 |
| temporalno               |       3 |
| tidebo                   |       3 |
| to                       |       3 |
| tocarle                  |       3 |
| toco                     |       3 |
| totaly                   |       3 |
| tren                     |       3 |
| trenla                   |       3 |
| uh                       |       3 |
| vagarhasta               |       3 |
| van                      |       3 |
| vano                     |       3 |
| vendra                   |       3 |
| verdes                   |       3 |
| vestido                  |       3 |
| vi                       |       3 |
| viaja                    |       3 |
| viday                    |       3 |
| vienen                   |       3 |
| vientoy                  |       3 |
| vientoya                 |       3 |
| vientre                  |       3 |
| violin                   |       3 |
| viste                    |       3 |
| voces                    |       3 |
| volvere                  |       3 |
| abandones                |       2 |
| abismoy                  |       2 |
| abrigueno                |       2 |
| abrilella                |       2 |
| acabara                  |       2 |
| acercaresere             |       2 |
| acerco                   |       2 |
| acuerdo                  |       2 |
| adentronosotros          |       2 |
| adormece                 |       2 |
| aguala                   |       2 |
| aguila                   |       2 |
| ahah                     |       2 |
| ahhh                     |       2 |
| albatraigan              |       2 |
| aleje                    |       2 |
| alguna                   |       2 |
| almapues                 |       2 |
| alturas                  |       2 |
| amaban                   |       2 |
| amanece                  |       2 |
| amanecerlo               |       2 |
| amanecerrezo             |       2 |
| amigosde                 |       2 |
| amoresta                 |       2 |
| amorno                   |       2 |
| amorquiero               |       2 |
| amorsolo                 |       2 |
| ana                      |       2 |
| anciano                  |       2 |
| andar                    |       2 |
| anden                    |       2 |
| ano                      |       2 |
| ansie                    |       2 |
| aparezca                 |       2 |
| aquello                  |       2 |
| aquia                    |       2 |
| aquieste                 |       2 |
| aquino                   |       2 |
| aquiy                    |       2 |
| are                      |       2 |
| arrastrany               |       2 |
| arriba                   |       2 |
| asicon                   |       2 |
| asisolo                  |       2 |
| atrapado                 |       2 |
| atravesar                |       2 |
| aun                      |       2 |
| bailabas                 |       2 |
| bailar                   |       2 |
| bailarentre              |       2 |
